,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,Status,Market,Instrument,,,,Strategy,,Position,,Session,Entry Date & Time,,Day,Exit Date & Time,,Trade Duration,  Balance ,Position Size,Entry Price,SL,SL in Pips/Points,TP, TP in Pips/Points ,Exit price,Realized Pips/Points,Expected R:R,Risk %,Target Gain %,, Gross PnL ,Gross Change %, Commission ,, Swap Fee,, Net PnL,, Cumulative PnL,, Closed Balance ,Net Change %,Growth % ,Transactions,#2,#3,HTF,,LTF,Class,ESM,Comments
,,1,WIN,Forex, AUDCHF ,,,, Strategy 1 ,,Long,,N.Y,13/02/2025 18:15,,Thursday,13/02/2025 20:15,,"0 days, 2 hours, 0 minutes"," $ 5,000.00 ",,0.56845,0.56795,5,0.57018,17.3,,,3.46 R,0.17%,0.57%,,$28.69,0.57%,  ,,,,$28.69,, $ 28.69 ,," $ 5,028.69 ",0.57%,0.57%,,$1.00,$1.00,,,,A,A,
,,2,LOSS,Forex, GBPCHF ,,,, Strategy 1 ,,Short,,London,14/02/2025 13:00,,Friday,14/02/2025 13:23,,"0 days, 0 hours, 23 minutes"," $ 5,028.69 ",,1.13447,1.13485,3.8,1.13317,13,1.13485,-3.8,3.42 R,0.19%,0.64%,,-$32.43,-0.64%,  ,,,,-$32.43,, $ (3.74),," $ 4,996.26 ",-0.64%,-0.07%,,$2.00,$1.00,,,,A,A+,News Event at 1:30.  SL hunters may have been out. Happy I got bias right. 
,,3,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,18/02/2025 07:57,,Tuesday,18/02/2025 08:00,,"0 days, 0 hours, 3 minutes"," $ 4,996.26 ",,159.071,159.139,6.8,158.841,23,159.139,-6.8,3.38 R,0.10%,0.35%,,-$17.36,-0.35%,  ,,,,-$17.36,, $ (21.10),," $ 4,978.90 ",-0.35%,-0.42%,,$3.00,$1.00,,,,A+,A,"Good setup trade, got bias right, just got liq swept on london open"
,,4,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,20/02/2025,,Thursday,20/02/2025,,"0 days, 0 hours, 0 minutes"," $ 4,978.90 ",,1.2613,1.26273,14.3,1.25628,50.2,1.26273,-14.3,3.51 R,0.10%,0.36%,,-$17.81,-0.36%,  ,,,,-$17.81,, $ (38.91),," $ 4,961.09 ",-0.36%,-0.78%,,$4.00,$1.00,,,,A,,
,,5,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,24/02/2025 18:56,,Monday,24/02/2025 19:04,,"0 days, 0 hours, 8 minutes"," $ 4,961.09 ",,156.774,156.83,5.6,156.579,19.5,156.83,-5.6,3.48 R,0.06%,0.19%,,-$9.56,-0.19%,  ,,,,-$9.56,, $ (48.47),," $ 4,951.53 ",-0.19%,-0.97%,,$5.00,$1.00,,,,B,A+,HTF wasnt clear
,,6,LOSS,Forex, AUDCAD ,,,, Strategy 1 ,,Short,,London,04/03/2025 11:54,,Tuesday,04/03/2025 12:12,,"0 days, 0 hours, 18 minutes"," $ 4,951.53 ",,0.89858,0.89915,5.7,0.89657,20.1,0.89915,-5.7,3.53 R,0.14%,0.50%,,-$24.85,-0.50%,  ,,,,-$24.85,, $ (73.32),," $ 4,926.68 ",-0.50%,-1.47%,,$6.00,$1.00,,,,B,A+,"Incorrect bias, lack of HTF understanding, "
,,7,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,06/03/2025 16:00,,Thursday,06/03/2025 18:00,,"0 days, 2 hours, 0 minutes"," $ 4,926.68 ",,160.632,161.066,43.4,159.14,149.2,159.14,149.2,3.44 R,0.48%,1.64%,,$80.60,1.64%,  ,,,,$80.60,, $ 7.28 ,," $ 5,007.28 ",1.64%,0.15%,,$7.00,$1.00,,,,A+,A+,Perfect setup - great trade - nice price action - textbook setup
,,8,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Long,,N.Y,07/03/2025 14:31,,Friday,07/03/2025 14:35,,"0 days, 0 hours, 4 minutes"," $ 5,007.28 ",,159.709,159.61,9.9,160.047,33.8,160.047,33.8,3.41 R,0.20%,0.69%,,$34.75,0.69%,  ,,,,$34.75,, $ 42.03 ,," $ 5,042.03 ",0.69%,0.84%,,$8.00,$1.00,,,,A,A+,Great scalp - saw setup late - typical channel pattern example
,,9,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,07/03/2025 14:39,,Friday,07/03/2025 15:36,,"0 days, 0 hours, 57 minutes"," $ 5,042.03 ",,160.255,160.45,19.5,159.58,67.5,159.58,67.5,3.46 R,0.19%,0.65%,,$32.85,0.65%,  ,,,,$32.85,, $ 74.88 ,," $ 5,074.88 ",0.65%,1.50%,,$9.00,$1.00,,,,B,A+,Good trade - No RSI or FVG
,,10,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,10/03/2025 09:45,,Monday,10/03/2025 11:05,,"0 days, 1 hours, 20 minutes"," $ 5,074.88 ",,159.89,160.109,21.9,159.037,85.3,159.037,85.3,3.89 R,0.41%,1.58%,,$80.00,1.58%,  ,,,,$80.00,, $ 154.88 ,," $ 5,154.88 ",1.58%,3.10%,,$10.00,$1.00,,,,A,A+,Good trade - fast candle to downside 
,,11,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,11/03/2025 08:00,,Tuesday,11/03/2025 08:45,,"0 days, 0 hours, 45 minutes"," $ 5,154.88 ",,160.195,160.567,37.2,158.883,131.2,160.567,-37.2,3.53 R,0.12%,0.44%,,-$22.61,-0.44%,  ,,,,-$22.61,, $ 132.27 ,," $ 5,132.27 ",-0.44%,2.65%,,$11.00,$1.00,,,,B,A+,Wrong bias - didnt look the best after reviewing
,,12,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,11/03/2025 11:00,,Tuesday,11/03/2025 14:00,,"0 days, 3 hours, 0 minutes"," $ 5,132.27 ",,0.90511,0.90436,0.075,0.90772,0.261,0.90772,0.261,3.48 R,0.47%,1.65%,,$84.70,1.65%,  ,,,,$84.70,, $ 216.97 ,," $ 5,216.97 ",1.65%,4.34%,,$12.00,$1.00,,,,A,A+,Right Bias - Nice trade - Ran up quick 
,,13,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,12/03/2025 11:12,,Wednesday,12/03/2025 11:36,,"0 days, 0 hours, 24 minutes"," $ 5,216.97 ",,162.268,162.322,5.4,162.075,19.3,162.075,19.3,3.57 R,0.16%,0.58%,,$30.18,0.58%,  ,,,,$30.18,, $ 247.15 ,," $ 5,247.15 ",0.58%,4.94%,,$13.00,$1.00,,,,A+,A+,Shorting to HTF Long Entry - Mitigated FVG
,,14,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Long,,N.Y,12/03/2025 15:08,,Wednesday,12/03/2025 15:24,,"0 days, 0 hours, 16 minutes"," $ 5,247.15 ",,161.729,161.656,7.3,161.989,26,161.989,26,3.56 R,0.18%,0.65%,,$34.32,0.65%,  ,,,,$34.32,, $ 281.47 ,," $ 5,281.47 ",0.65%,5.63%,,$14.00,$1.00,,,,A,A+,No FVG - Following Bullish price as price went into dicount already
,,15,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,13/03/2025 08:56,,Thursday,13/03/2025 09:12,,"0 days, 0 hours, 16 minutes"," $ 5,281.47 ",,160.841,160.88,3.9,160.704,13.7,160.88,-3.9,3.51 R,0.04%,0.14%,,-$7.34,-0.14%,  ,,,,-$7.34,, $ 274.13 ,," $ 5,274.13 ",-0.14%,5.48%,,$15.00,$1.00,,,,C,A,Shouldnt have taken this - Not clear - Almost hit tp
,,16,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,13/03/2025 09:36,,Thursday,13/03/2025 12:06,,"0 days, 2 hours, 30 minutes"," $ 5,274.13 ",,161.183,161.404,22.1,160.416,76.7,160.416,76.7,3.47 R,0.45%,1.57%,,$82.99,1.57%,  ,,,,$82.99,, $ 357.12 ,," $ 5,357.12 ",1.57%,7.14%,,$16.00,$1.00,,,,A,A+,Great trade - Shorted into discount after already going into discount
,,17,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,14/03/2025 07:00,,Friday,14/03/2025 07:01,,"0 days, 0 hours, 1 minutes"," $ 5,357.12 ",,161.087,161.041,4.6,161.242,15.5,161.041,-4.6,3.37 R,0.03%,0.00%,,-$4.95,-0.09%,  ,,,,-$4.95,, $ 352.17 ,," $ 5,352.17 ",-0.09%,7.04%,,$17.00,$1.00,,,,,,
,,18,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,14/03/2025 07:30,,Friday,14/03/2025 08:30,,"0 days, 1 hours, 0 minutes"," $ 5,352.17 ",,161.191,161.073,11.8,161.556,36.5,161.556,36.5,3.09 R,0.06%,0.19%,,$10.00,0.19%,  ,,,,$10.00,, $ 362.17 ,," $ 5,362.17 ",0.19%,7.24%,,$18.00,$1.00,,,,,,
,,19,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,17/03/2025 07:30,,Monday,17/03/2025 12:45,,"0 days, 5 hours, 15 minutes"," $ 5,362.17 ",,161.818,161.695,12.3,162.259,44.1,162.259,44.1,3.59 R,0.32%,1.13%,,$60.64,1.13%,  ,,,,$60.64,, $ 422.81 ,," $ 5,422.81 ",1.13%,8.46%,,$19.00,$1.00,,,,A,C,Fearful so took out 1/3 - bad mentality - almost wicked on news
,,20,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,Asia,17/03/2025 20:30,,Monday,17/03/2025 20:45,,"0 days, 0 hours, 15 minutes"," $ 5,422.81 ",,162.946,162.995,4.9,162.78,16.6,162.78,16.6,3.39 R,0.08%,0.28%,,-$15.11,-0.28%,  ,,,,-$15.11,, $ 407.70 ,," $ 5,407.70 ",-0.28%,8.15%,,$20.00,$1.00,,,,B,A+,Saw MSS and shorted into HTF discount - didnt happen - lack of confluences
,,21,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,18/03/2025 11:51,,Tuesday,18/03/2025 13:42,,"0 days, 1 hours, 51 minutes"," $ 5,407.70 ",,163.446,163.231,21.5,164.18,73.4,163.231,-21.5,3.41 R,0.10%,0.00%,,-$18.39,-0.34%,  ,,,,-$18.39,, $ 389.31 ,," $ 5,389.31 ",-0.34%,7.79%,,$21.00,$1.00,,,,A,C,Fearful - took position out when in loss - not the ideal price action
,,22,LOSS,Forex, AUDCAD ,,,, Strategy 1 ,,Short,,London,18/03/2025 07:30,,Tuesday,18/03/2025 10:15,,"0 days, 2 hours, 45 minutes"," $ 5,389.31 ",,0.91228,0.91273,4.5,0.91072,15.6,0.91273,-4.5,3.47 R,0.14%,0.48%,,-$26.07,-0.48%,  ,,,,-$26.07,, $ 363.24 ,," $ 5,363.24 ",-0.48%,7.26%,,$22.00,$1.00,,,,A,A+,Great looking trade - Got bias right - Just got wicked out 
,,23,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,19/03/2025 06:57,,Wednesday,19/03/2025 07:00,,"0 days, 0 hours, 3 minutes"," $ 5,363.24 ",,163.436,163.335,10.1,163.793,35.7,163.335,-10.1,3.53 R,0.13%,0.00%,,-$24.35,-0.45%,  ,,,,-$24.35,, $ 338.89 ,," $ 5,338.89 ",-0.45%,6.78%,,$23.00,$1.00,,,,A,D,Accidently closed TP not WHOLE POSITION - silly mistake - nasty flash crash in morning
,,24,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,19/03/2025 09:51,,Wednesday,19/03/2025 09:52,,"0 days, 0 hours, 1 minutes"," $ 5,338.89 ",,163.338,163.369,3.1,163.226,11.2,163.369,-3.1,3.61 R,0.03%,0.11%,,-$5.68,-0.11%,  ,,,,-$5.68,, $ 333.21 ,," $ 5,333.21 ",-0.11%,6.66%,,$24.00,$1.00,,,,B,C,Wanted to find a trade - got wicked out reached tp 
,,25,LOSS,Forex, AUDCAD ,,,, Strategy 1 ,,Long,,N.Y,19/03/2025 13:15,,Wednesday,19/03/2025 13:30,,"0 days, 0 hours, 15 minutes"," $ 5,333.21 ",,0.90621,0.90581,4,0.90761,14,0.90581,-4,3.5 R,0.15%,0.59%,,-$28.60,-0.54%,  ,,,,-$28.60,, $ 304.61 ,," $ 5,304.61 ",-0.54%,6.09%,,$25.00,$1.00,,,,A,A+,Minset was off due to losing in the day
,,26,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,N.Y,19/03/2025 14:39,,Wednesday,19/03/2025 14:45,,"0 days, 0 hours, 6 minutes"," $ 5,304.61 ",,163.322,163.229,9.3,163.648,32.6,163.227,-9.5,3.51 R,0.05%,0.00%,,-$9.72,-0.18%,  ,,,,-$9.72,, $ 294.89 ,," $ 5,294.89 ",-0.18%,5.90%,,$26.00,$1.00,,,,C,B,Looking for a trade - the flash crash made it hard to undestand bias
,,27,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,24/03/2025 06:15,,Monday,24/03/2025 06:30,,"0 days, 0 hours, 15 minutes"," $ 5,294.89 ",,162.221,162.286,6.5,161.992,22.9,162.286,-6.5,3.52 R,0.13%,0.47%,,-$25.00,-0.47%,  ,,,,-$25.00,, $ 269.89 ,," $ 5,269.89 ",-0.47%,5.40%,,$27.00,$1.00,,,,A,A+,15 min allignment - not 4H allignment 
,,28,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,24/03/2025 15:58,,Monday,24/03/2025 15:58,,"0 days, 0 hours, 0 minutes"," $ 5,269.89 ",,162.687,162.726,3.9,162.555,13.2,162.726,-3.9,3.38 R,0.06%,0.19%,,-$10.09,-0.19%,  ,,,,-$10.09,, $ 259.80 ,," $ 5,259.80 ",-0.19%,5.20%,,$28.00,$1.00,,,,A,A+,Failed channel pattern - respected the lowest TF premium/discount zone
,,29,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,25/03/2025 12:30,,Tuesday,25/03/2025 13:45,,"0 days, 1 hours, 15 minutes"," $ 5,259.80 ",,162.262,162.043,21.9,163.026,76.4,162.043,-21.9,3.49 R,0.13%,0.00%,,-$24.64,-0.47%,  ,,,,-$24.64,, $ 235.16 ,," $ 5,235.16 ",-0.47%,4.70%,,$29.00,$1.00,,,,A,A,4H bullish - Used a larger TF swing - I used the base of a RBR
,,30,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,N.Y,26/03/2025 17:15,,Wednesday,26/03/2025 17:15,,"0 days, 0 hours, 0 minutes"," $ 5,235.16 ",,162.444,162.421,2.3,162.523,7.9,162.421,-2.3,3.43 R,0.06%,0.00%,,-$10.00,-0.19%,  ,,,,-$10.00,, $ 225.16 ,," $ 5,225.16 ",-0.19%,4.50%,,$30.00,$1.00,,,,A+,A+,DXY pumped hard 
,,31,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,27/03/2025 12:00,,Thursday,27/03/2025 12:02,,"0 days, 0 hours, 2 minutes"," $ 5,225.16 ",,162.892,162.954,6.2,162.677,21.5,162.954,-6.2,3.47 R,0.06%,0.19%,,-$10.00,-0.19%,  ,,,,-$10.00,, $ 215.16 ,," $ 5,215.16 ",-0.19%,4.30%,,$31.00,$1.00,,,,A,A+,Got bias right - just got wicked out - more common for 1m scalps
,,32,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,N.Y,27/03/2025 17:29,,Thursday,27/03/2025 17:40,,"0 days, 0 hours, 11 minutes"," $ 5,215.16 ",,163.1,163.048,5.2,163.362,26.2,163.048,-5.2,5.04 R,0.04%,0.00%,,-$10.00,-0.19%,  ,,,,-$10.00,, $ 205.16 ,," $ 5,205.16 ",-0.19%,4.10%,,$32.00,$1.00,,,,A+,A,High prob setup - need to look how it changes on 1m
,,33,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,N.Y,28/03/2025 16:45,,Friday,28/03/2025 17:05,,"0 days, 0 hours, 20 minutes"," $ 5,205.16 ",,162.459,162.357,10.2,162.927,46.8,162.357,-10.2,4.59 R,0.04%,0.00%,,-$10.00,-0.19%,  ,,,,-$10.00,, $ 195.16 ,," $ 5,195.16 ",-0.19%,3.90%,,$33.00,$1.00,,,,C,A+,Should have noticed the bearish LS for swing high -
,,34,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,01/04/2025 21:45,,Tuesday,01/04/2025 23:00,,"0 days, 1 hours, 15 minutes"," $ 5,195.16 ",,161.473,161.591,11.8,161.063,41,161.591,-11.8,3.47 R,0.11%,0.38%,,-$19.79,-0.38%,  ,,,,-$19.79,, $ 175.37 ,," $ 5,175.37 ",-0.38%,3.51%,,$34.00,$1.00,,,,B,A+,Wanted to scale into a HTF move
,,35,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,02/04/2025 10:00,,Wednesday,03/04/2025 10:12,,"1 days, 0 hours, 12 minutes"," $ 5,175.37 ",,161.608,161.682,7.4,161.357,25.1,161.682,-7.4,3.39 R,0.06%,0.20%,,-$10.10,-0.20%,  ,,,,-$10.10,, $ 165.27 ,," $ 5,165.27 ",-0.20%,3.31%,,$35.00,$1.00,,,,B,A+,Sticking to the HTF bearish bias - Got wicked out
,,36,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,02/04/2025 14:30,,Wednesday,02/04/2025 14:42,,"0 days, 0 hours, 12 minutes"," $ 5,165.27 ",,161.511,161.628,11.7,161.102,40.9,161.628,-11.7,3.5 R,0.05%,0.19%,,-$9.56,-0.19%,  ,,,,-$9.56,, $ 155.71 ,," $ 5,155.71 ",-0.19%,3.11%,,$36.00,$1.00,,,,A,A+,Sticking to the HTF bearish bias - Got HTF bias wrong ultimately
,,37,B/E,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,07/04/2025 09:32,,Monday,07/04/2025 09:43,,"0 days, 0 hours, 11 minutes"," $ 5,155.71 ",,160.306,160.169,13.7,160.78,47.4,160.78,47.4,3.46 R,0.00%,0.00%,,$0.00,0.00%,  ,,,,$0.00,, $ 155.71 ,," $ 5,155.71 ",0.00%,3.11%,,$37.00,$1.00,,,,C,A+,"Scalp, lack of confluences but PA was nice, lack of spread so no hit"
,,38,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Long,,London,07/04/2025 13:06,,Monday,07/04/2025 13:12,,"0 days, 0 hours, 6 minutes"," $ 5,155.71 ",,1.28116,1.2807,4.6,1.2832,20.4,1.2807,-4.6,4.43 R,0.04%,0.15%,,-$10.00,-0.19%,  ,,,,-$10.00,, $ 145.71 ,," $ 5,145.71 ",-0.19%,2.91%,,$38.00,$1.00,,,,A,A+,Channel pattern - got wicked - maybe use full sweing as SL as opposed to 0.9 - HTF allignment with a higher TP too 
,,39,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,N.Y,07/04/2025 13:42,,Monday,07/04/2025 14:48,,"0 days, 1 hours, 6 minutes"," $ 5,145.71 ",,1.28444,1.28548,10.4,1.27869,57.5,1.27869,57.5,5.53 R,0.44%,2.46%,,$126.39,2.46%,  ,,,,$126.39,, $ 272.10 ,," $ 5,272.10 ",2.46%,5.44%,,$39.00,$1.00,,,,A+,A,Great setup - wanted to take longet TP as conlfuence at 1.382 
,,40,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Long,,London,08/04/2025 09:11,,Tuesday,08/04/2025 10:47,,"0 days, 1 hours, 36 minutes"," $ 5,272.10 ",,1.27348,1.27176,17.2,1.27965,61.7,1.28,65.2,3.59 R,0.16%,0.58%,,$30.80,0.58%,  ,,,,$30.80,, $ 302.90 ,," $ 5,302.90 ",0.58%,6.06%,,$40.00,$1.00,,,,A,D,Great setup - micromananged it too much when would have ran to full TP
,,41,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Long,,N.Y,09/04/2025 12:30,,Wednesday,09/04/2025 18:15,,"0 days, 5 hours, 45 minutes"," $ 5,302.90 ",,0.50295,0.50084,21.1,0.51024,72.9,0.51024,72.9,3.45 R,0.46%,1.58%,,$83.97,1.58%,  ,,,,$83.97,, $ 386.87 ,," $ 5,386.87 ",1.58%,7.74%,,$41.00,$1.00,,,,A,A+,Nice setup - News on TP - would have been monster if held to 1.32
,,42,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,11/04/2025 10:42,,Friday,11/04/2025 10:46,,"0 days, 0 hours, 4 minutes"," $ 5,386.87 ",,1.31183,1.31291,10.8,1.30673,51,1.31291,-10.8,4.72 R,0.07%,0.31%,,-$16.64,-0.31%,  ,,,,-$16.64,, $ 370.23 ,," $ 5,370.23 ",-0.31%,7.40%,,$42.00,$1.00,,,,B,A,Wrong Bias - Weird PA - Respected the Base (rally base rally) 50% swing instead of HTF swing
,,43,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,11/04/2025 10:55,,Friday,11/04/2025 11:55,,"0 days, 1 hours, 0 minutes"," $ 5,370.23 ",,0.50969,0.51112,14.3,0.50424,54.5,0.51112,-14.3,3.81 R,0.12%,0.47%,,-$25.00,-0.47%,  ,,,,-$25.00,, $ 345.23 ,," $ 5,345.23 ",-0.47%,6.90%,,$43.00,$1.00,,,,A,A+,No reason to assume bullish 
,,44,LOSS,Forex, AUDCHF ,,,, Strategy 1 ,,Short,,London,14/04/2025 09:15,,Monday,14/04/2025 10:00,,"0 days, 0 hours, 45 minutes"," $ 5,345.23 ",,0.51787,0.51829,4.2,0.5164,14.7,0.51829,-4.2,3.5 R,0.05%,0.18%,,-$9.77,-0.18%,  ,,,,-$9.77,, $ 335.46 ,," $ 5,335.46 ",-0.18%,6.71%,,$44.00,$1.00,,,,A,A+,Reviewed in jounrnal
,,45,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,14/04/2025 13:45,,Monday,14/04/2025 14:00,,"0 days, 0 hours, 15 minutes"," $ 5,335.46 ",,163.056,163.131,7.5,162.689,36.7,162.689,36.7,4.89 R,0.19%,0.91%,,$48.50,0.91%,  ,,,,$48.50,, $ 383.96 ,," $ 5,383.96 ",0.91%,7.68%,,$45.00,$1.00,,,,A,A+,Reviewed in jounrnal
,,46,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,15/04/2025 11:07,,Tuesday,15/04/2025 11:29,,"0 days, 0 hours, 22 minutes"," $ 5,383.96 ",,1.32434,1.32475,4.1,1.32293,14.1,1.32475,-4.1,3.44 R,0.06%,0.20%,,-$10.67,-0.20%,  ,,,,-$10.67,, $ 373.29 ,," $ 5,373.29 ",-0.20%,7.47%,,$46.00,$1.00,,,,C,A+,Reviewed in jounrnal
,,47,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,15/04/2025 13:15,,Tuesday,15/04/2025 14:24,,"0 days, 1 hours, 9 minutes"," $ 5,373.29 ",,1.32416,1.32483,6.7,1.32185,23.1,1.32185,23.1,3.45 R,0.47%,1.60%,,$86.21,1.60%,  ,,,,$86.21,, $ 459.50 ,," $ 5,459.50 ",1.60%,9.19%,,$47.00,$1.00,,,,A,A+,Reviewed in Journal
,,48,B/E,Forex, AUDCHF ,,,, Strategy 1 ,,Short,,N.Y,17/04/2025 18:00,,Thursday,17/04/2025 19:00,,"0 days, 1 hours, 0 minutes"," $ 5,459.50 ",,0.52474,0.52508,3.4,0.52354,12,0.52474,0,3.53 R,0.00%,0.00%,,$0.00,0.00%,  ,,,,$0.00,, $ 459.50 ,," $ 5,459.50 ",0.00%,9.19%,,$48.00,$1.00,,,,B,A+,Step wokred - lack of spreads didnt trigger TP
,,49,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,N.Y,21/04/2025 14:30,,Monday,21/04/2025 15:00,,"0 days, 0 hours, 30 minutes"," $ 5,459.50 ",,162.164,162.019,14.5,162.67,50.6,162.019,-14.5,3.49 R,0.08%,0.00%,,-$14.63,-0.27%,  ,,,,-$14.63,, $ 444.87 ,," $ 5,444.87 ",-0.27%,8.90%,,$49.00,$1.00,,,,C,A+,Reviewed in Journal
,,50,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,N.Y,21/04/2025 15:00,,Monday,21/04/2025 16:05,,"0 days, 1 hours, 5 minutes"," $ 5,444.87 ",,1.34088,1.34173,8.5,1.33788,30,1.33788,30,3.53 R,0.35%,1.25%,,$67.85,1.25%,  ,,,,$67.85,, $ 512.72 ,," $ 5,512.72 ",1.25%,10.25%,,$50.00,$1.00,,,,A,A+,
,,51,WIN,Forex, AUDCAD ,,,, Strategy 1 ,,Short,,N.Y,22/04/2025 15:39,,Tuesday,22/04/2025 15:54,,"0 days, 0 hours, 15 minutes"," $ 5,512.72 ",,0.88514,0.88566,5.2,0.88333,18.1,0.88333,18.1,3.48 R,0.27%,0.94%,,$51.60,0.94%,  ,,,,$51.60,, $ 564.32 ,," $ 5,564.32 ",0.94%,11.29%,,$51.00,$1.00,,,,A,A+,
,,52,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,  ,,,,,,  ,,  ,,,,,,,,,,,
,,53,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,  ,,,,,,  ,,  ,,,,,,,,,,,
,,54,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,  ,,,,,,  ,,  ,,,,,,,,,,,
,,55,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,  ,,,,,,  ,,  ,,,,,,,,,,,
,,56,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,  ,,,,,,  ,,  ,,,,,,,,,,,
,,57,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,  ,,,,,,  ,,  ,,,,,,,,,,,
