,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,Status,Market,Instrument,,,,Strategy,,Position,,Session,Entry Date & Time,,Day,Exit Date & Time,,Trade Duration,  Balance ,Position Size,Entry Price,SL,SL in Pips/Points,TP, TP in Pips/Points ,Exit price,Realized Pips/Points,Expected R:R,Risk %,Target Gain %,, Gross PnL ,Gross Change %, Commission ,, Swap Fee,, Net PnL,, Cumulative PnL,, Closed Balance ,Net Change %,Growth % ,Transactions,#2,#3,HTF,,LTF,Bias Correct,HTF,FVG,LS,RSI,News,Class,ESM during,ESM after,Comments
,,1,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,24/04/2025 13:20,,Thursday,24/04/2025 13:45,,"0 days, 0 hours, 25 minutes"," $ 5,000.00 ",,162.002,161.894,10.8,162.382,38,161.894,-10.8,3.52 R,0.50%,0.00%,,-$25.19,-0.50%,  ,,,,-$25.19,, $ (25.19),," $ 4,974.81 ",-0.50%,-0.50%,,$1.00,$1.00,,,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,B,Good,,This move was stagnant and choppy. The Bias was right but took longer than expected and involved consolidation which isnt typical
,,2,LOSS,Forex, AUDCAD ,,,, Strategy 1 ,,Short,,Asia,24/04/2025 16:50,,Thursday,24/04/2025 17:04,,"0 days, 0 hours, 14 minutes"," $ 4,974.81 ",,0.88817,0.88845,2.8,0.88717,10,0.88845,-2.8,3.57 R,0.15%,0.55%,,-$27.13,-0.55%,  ,,,,-$27.13,, $ (52.32),," $ 4,947.68 ",-0.55%,-1.05%,,$2.00,$1.00,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,C,Good,,Didnt sweep SSL so wrong place to assume the MSS and channel strucutre. Deducted HTF allignment as a result.
,,3,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,25/04/2025 15:29,,Friday,25/04/2025 15:34,,"0 days, 0 hours, 5 minutes"," $ 4,947.68 ",,163.425,163.469,4.4,163.26,16.5,163.469,-4.4,3.75 R,0.08%,0.28%,,-$14.09,-0.28%,  ,,,,-$14.09,, $ (66.41),," $ 4,933.59 ",-0.28%,-1.33%,,$3.00,$1.00,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,B,Okay,,Failed Channel Pattern. I didnt expect price to contunie upwards as there was no HTF POI above the swing high. Lack of FVG or LS.
,,4,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,28/04/2025 13:20,,Monday,28/04/2025 13:25,,"0 days, 0 hours, 5 minutes"," $ 4,933.59 ",,1.33476,1.33523,4.7,1.33314,16.2,1.33523,-4.7,3.45 R,0.15%,0.51%,,-$25.00,-0.51%,  ,,,,-$25.00,, $ (91.41),," $ 4,908.59 ",-0.51%,-1.83%,,$4.00,$1.00,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,A+,Good,,Swept SSL on the HTF leading to me thinking we will see a pullback into discount. Never got it as DXY very bearish and dumped. Make sure they are confluent.
,,5,LOSS,Forex, AUDUSD ,,,, Strategy 1 ,,Short,,London,29/04/2025 13:12,,Tuesday,29/04/2025 13:39,,"0 days, 0 hours, 27 minutes"," $ 4,908.59 ",,0.6408,0.6411,3,0.63976,10.4,0.6411,-3,3.47 R,0.08%,0.29%,,-$14.30,-0.29%,  ,,,,-$14.30,, $ (105.71),," $ 4,894.29 ",-0.29%,-2.11%,,$5.00,$1.00,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,D,Okay,,Should have draw a larger swing and understood I was selling in premium still. On retrospect I think it was a revenge trade.
,,6,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Long,,London,29/04/2025 12:29,,Tuesday,29/04/2025 12:57,,"0 days, 0 hours, 28 minutes"," $ 4,894.29 ",,1.33832,1.33813,1.9,1.33926,9.4,1.33819,-1.3,4.95 R,0.05%,0.20%,,-$12.90,-0.26%,  ,,,,-$12.90,, $ (118.61),," $ 4,881.39 ",-0.26%,-2.37%,,$6.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,A,Bad,,Tampered with the trade. I moved SL to swing low after the first move after entry. Then got tagged due to poor spread. Chased the entry. Ran up to full TP. Fearful
,,7,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,02/05/2025 10:36,,Friday,02/05/2025 10:39,,"0 days, 0 hours, 3 minutes"," $ 4,881.39 ",,1.33006,1.33059,5.3,1.32819,18.7,1.33059,-5.3,3.53 R,0.14%,0.50%,,-$24.21,-0.50%,  ,,,,-$24.21,, $ (142.82),," $ 4,857.18 ",-0.50%,-2.86%,,$7.00,$1.00,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,C,Good,,"Used a lower swing on this trade, seen trades in the past use the base as a pivot to retrace around yet it didnt in this case."
,,8,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,02/05/2025 10:40,,Friday,02/05/2025 13:30,,"0 days, 2 hours, 50 minutes"," $ 4,857.18 ",,1.331,1.33176,7.6,1.32822,27.8,1.32816,28.4,3.66 R,0.53%,1.94%,,$94.24,1.94%,  ,,,,$94.24,, $ (48.58),," $ 4,951.42 ",1.94%,-0.97%,,$8.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A+,Good,,Took a while and markets were choppy as NFP and unemployment rate data but got filled when the news hit. Got more profit due to spreads around news.
,,9,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,07/05/2025 19:35,,Wednesday,07/05/2025 19:40,,"0 days, 0 hours, 5 minutes"," $ 4,951.42 ",,162.712,162.805,9.3,162.379,33.3,162.805,-9.3,3.58 R,0.13%,0.46%,,-$22.93,-0.46%,  ,,,,-$22.93,, $ (71.51),," $ 4,928.49 ",-0.46%,-1.43%,,$9.00,$1.00,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,B,Good,Good,Setup looked decent . HTF allignment back to the HTF 0.5. Small Liquidity sweep. News press conference so stop hunters were out.
,,11,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,09/05/2025 15:00,,Friday,12/05/2025 08:00,,"2 days, 17 hours, 0 minutes"," $ 4,928.49 ",,1.33047,1.33313,26.6,1.32117,93,1.32117,93,3.5 R,0.50%,1.69%,,$83.43,1.69%,  ,,,,$83.43,, $ 11.92 ,," $ 5,011.92 ",1.69%,0.24%,,$10.00,$1.00,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,Good,Good,Nice trade. Held over the weekend.
,,12,WIN,Forex, AUDCAD ,,,, Strategy 1 ,,Short,,N.Y,12/05/2025 13:40,,Monday,12/05/2025 15:50,,"0 days, 2 hours, 10 minutes"," $ 5,011.92 ",,0.89457,0.89522,6.5,0.8923,22.7,0.8923,22.7,3.49 R,0.49%,1.72%,,$85.96,1.72%,  ,,,,$85.96,, $ 97.88 ,," $ 5,097.88 ",1.72%,1.96%,,$11.00,$1.00,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,A-,Good,Good,Textbook price action. Nice move. 
,,13,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,N.Y,14/05/2025 15:51,,Wednesday,14/05/2025 16:03,,"0 days, 0 hours, 12 minutes"," $ 5,097.88 ",,164.035,164.122,8.7,163.73,30.5,164.122,-8.7,3.51 R,0.14%,0.48%,,-$24.69,-0.48%,  ,,,,-$24.69,, $ 73.19 ,," $ 5,073.19 ",-0.48%,1.46%,,$12.00,$1.00,,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,B,Okay,Bad,Dont think I should have taken this. Didnt use the HTF swing. Failed channel pattern. Saw liquidity to the downside still.
,,14,LOSS,Forex, USDCHF ,,,, Strategy 1 ,,Short,,N.Y,14/05/2025 13:15,,Wednesday,14/05/2025 15:00,,"0 days, 1 hours, 45 minutes"," $ 5,073.19 ",,0.83767,0.8391,14.3,0.8324,52.7,0.8391,-14.3,3.69 R,0.13%,0.48%,,-$24.10,-0.48%,  ,,,,-$24.10,, $ 49.09 ,," $ 5,049.09 ",-0.48%,0.98%,,$13.00,$1.00,,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,B,Good,Bad,Dont think I should have taken this too. HTF looks weird. shouldnt have longed after movement into discount on HTF. Dont like how flat the PA before the OB was and the liquidity above it.
,,15,LOSS,Forex, GBPJPY ,,,, Strategy 1 ,,Short,,N.Y,16/05/2025 14:51,,Friday,16/05/2025 15:12,,"0 days, 0 hours, 21 minutes"," $ 5,049.09 ",,193.47,193.545,7.5,193.207,26.3,193.545,-7.5,3.51 R,0.14%,0.49%,,-$24.52,-0.49%,  ,,,,-$24.52,, $ 24.57 ,," $ 5,024.57 ",-0.49%,0.49%,,$14.00,$1.00,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,C,Good,Bad,"MSS i thought was valid probably wasnt, should have broken lower lows before assuming continuation of bearish PA. "
,,16,LOSS,Forex, AUDCAD ,,,, Strategy 1 ,,Short,,N.Y,20/05/2025 17:24,,Tuesday,20/05/2025 21:02,,"0 days, 3 hours, 38 minutes"," $ 5,024.57 ",,0.89352,0.89435,8.3,0.89064,28.8,0.89435,-8.3,3.47 R,0.17%,0.61%,,-$30.48,-0.61%,  ,,,,-$30.48,, $ (5.91),," $ 4,994.09 ",-0.61%,-0.12%,,$15.00,$1.00,,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,B,Okay,Okay,"Not sure why I was tagged out for a bigger loss than I risked. I didnt see the trade get closed, maybe it was a brokeage thing? "
,,17,WIN,Forex, EURJPY ,,,, Strategy 1 ,,Long,,London,20/05/2025 06:00,,Tuesday,21/05/2025,,"0 days, 18 hours, 0 minutes"," $ 4,994.09 ",,162.508,162.256,25.2,163.391,88.3,162.76,25.2,3.5 R,0.19%,0.68%,,$33.86,0.68%,  ,,,,$33.86,, $ 27.95 ,," $ 5,027.95 ",0.68%,0.56%,,$16.00,$1.00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bad,,Weird one - price choppy and I took partials out at 50% as i didnt want to leave risk on overnight but never got the money for it 
,,18,WIN,Forex, AUDCAD ,,,, Strategy 1 ,,Short,,N.Y,21/05/2025 15:00,,Wednesday,21/05/2025 18:15,,"0 days, 3 hours, 15 minutes"," $ 5,027.95 ",,0.8948,0.89538,5.8,0.89277,20.3,0.89277,20.3,3.5 R,0.29%,1.03%,,$51.88,1.03%,  ,,,,$51.88,, $ 79.83 ,," $ 5,079.83 ",1.03%,1.60%,,$17.00,$1.00,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,Good,Good,Saw this trade late so risked less - nice move -
,,19,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,22/05/2025 14:30,,Thursday,22/05/2025 14:30,,"0 days, 0 hours, 0 minutes"," $ 5,079.83 ",,1.34226,1.34243,1.7,1.34051,17.5,1.34243,-1.7,10.29 R,0.03%,0.30%,,-$15.00,-0.30%,  ,,,,-$15.00,, $ 64.83 ,," $ 5,064.83 ",-0.30%,1.30%,,$18.00,$1.00,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,C,Bad,Bad,Silly silly boy - FOMO - bad Seb - Revenge trade with lack of confluence - trying to make up for the other loss made today
,,20,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,London,22/05/2025 13:30,,Thursday,22/05/2025 15:45,,"0 days, 2 hours, 15 minutes"," $ 5,064.83 ",,1.34251,1.3435,9.9,1.33907,34.4,1.3435,-9.9,3.47 R,0.14%,0.49%,,-$24.63,-0.49%,  ,,,,-$24.63,, $ 40.20 ,," $ 5,040.20 ",-0.49%,0.80%,,$19.00,$1.00,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,C,Good,Good,Was excpecting price to go lower as there were liquidity sweeps but the HTF trend was still bullish - lost a lot to this setup over 3 trades
,,21,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,Asia,22/05/2025 20:00,,Thursday,23/05/2025 02:00,,"0 days, 6 hours, 0 minutes"," $ 5,040.20 ",,1.34263,1.34382,11.9,1.34033,23,1.3482,-55.7,1.93 R,0.05%,0.10%,,-$5.00,-0.10%,  ,,,,-$5.00,, $ 35.20 ,," $ 5,035.20 ",-0.10%,0.70%,,$20.00,$1.00,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,C,Okay,Okay,
,,22,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,N.Y,27/05/2025 13:20,,Tuesday,27/05/2025 15:40,,"0 days, 2 hours, 20 minutes"," $ 5,035.20 ",,1.35581,1.35683,10.2,1.35216,36.5,1.35683,-10.2,3.58 R,0.48%,1.73%,,$87.00,1.73%,  ,,,,$87.00,, $ 122.20 ,," $ 5,122.20 ",1.73%,2.44%,,$21.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,A+,Good,Good,Perfect setup - emotional good too - classic textbook PA
,,23,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,N.Y,02/06/2025 15:03,,Monday,02/06/2025 15:06,,"0 days, 0 hours, 3 minutes"," $ 5,122.20 ",,1.35407,1.3547,6.3,1.35184,22.3,1.3547,-6.3,3.54 R,0.08%,0.30%,,-$15.41,-0.30%,  ,,,,-$15.41,, $ 106.79 ,," $ 5,106.79 ",-0.30%,2.14%,,$22.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A+,Good,Good,Really liked the look of this setup - some news came out at 3 but I deemed it not major. Seen as though we did reverse to TP Id assume it was news manipulation. Did risk less though as a result of news
,,24,LOSS,Forex, GBPUSD ,,,, Strategy 1 ,,Short,,N.Y,02/06/2025 12:00,,Monday,02/06/2025 15:00,,"0 days, 3 hours, 0 minutes"," $ 5,106.79 ",,0.88839,0.88987,14.8,0.88316,52.3,0.88987,-14.8,3.53 R,0.14%,0.49%,,-$25.00,-0.49%,  ,,,,-$25.00,, $ 81.79 ,," $ 5,081.79 ",-0.49%,1.64%,,$23.00,$1.00,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,A+,Good,Good,Nice setup on HTF - it took a while to see if my bias was right but i wasnt. still a high proba setup 
,,25,WIN,Forex, GBPUSD ,,,, Strategy 1 ,,Long,,London,05/06/2025 12:51,,Thursday,05/06/2025 13:30,,"0 days, 0 hours, 39 minutes"," $ 5,081.79 ",,1.35675,1.35626,4.9,1.35845,17,1.35845,17,3.47 R,0.57%,1.97%,,$100.00,1.97%,  ,,,,$100.00,, $ 181.79 ,," $ 5,181.79 ",1.97%,3.64%,,$24.00,$1.00,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,Good,Good,Nice Setup - Was contemplating using .318 ext as it had htf allignment - would have worked well
,,26,LOSS,Forex, NZDUSD ,,,, Strategy 1 ,,Short,,London,06/06/2025 13:30,,Friday,06/06/2025 13:30,,"0 days, 0 hours, 0 minutes"," $ 5,181.79 ",,0.60381,0.60428,4.7,0.60212,16.9,0.60212,16.9,3.6 R,0.08%,0.29%,,-$15.00,-0.29%,  ,,,,-$15.00,, $ 166.79 ,," $ 5,166.79 ",-0.29%,3.34%,,$25.00,$1.00,,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,A-,Good,Good,Right bias and direction - just NFP and unemployment rate news wicked me out but risked less in prediction of this
,,27,LOSS,Forex, EURUSD ,,,, Strategy 1 ,,Long,,London,09/06/2025 11:00,,Monday,09/06/2025 11:36,,"0 days, 0 hours, 36 minutes"," $ 5,166.79 ",,1.14245,1.14204,4.1,1.14389,14.4,1.14204,-4.1,3.51 R,0.14%,0.42%,,-$25.00,-0.48%,  ,,,,-$25.00,, $ 141.79 ,," $ 5,141.79 ",-0.48%,2.84%,,$26.00,$1.00,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,A+,Good,Good,Decent quality setup - confluences there - no reason to believe price would reverse here - should have spent more time analysing HTF
,,28,LOSS,Forex, GBPNZD ,,,, Strategy 1 ,,Short,,London,11/06/2025 12:30,,Wednesday,11/06/2025 16:00,,"0 days, 3 hours, 30 minutes"," $ 5,141.79 ",,2.23857,2.24168,31.1,2.22763,109.4,2.24168,-31.1,3.52 R,0.08%,0.29%,,-$15.00,-0.29%,  ,,,,-$15.00,, $ 126.79 ,," $ 5,126.79 ",-0.29%,2.54%,,$27.00,$1.00,,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,A,Good,Good,Was nice move yet manipulation was out due to CPI data and news 
,,29,LOSS,Forex, GBPNZD ,,,, Strategy 1 ,,Short,,N.Y,11/06/2025 15:00,,Wednesday,11/06/2025 15:50,,"0 days, 0 hours, 50 minutes"," $ 5,126.79 ",,2.23786,2.24,21.4,2.21751,203.5,2.24,-21.4,9.51 R,0.03%,0.29%,,-$14.83,-0.29%,  ,,,,-$14.83,, $ 111.96 ,," $ 5,111.96 ",-0.29%,2.24%,,$28.00,$1.00,,,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,A,Good,Okay,Was the scale in on the move above 
,,30,LOSS,Forex, NZDUSD ,,,, Strategy 1 ,,Short,,London,12/06/2025 09:45,,Thursday,12/06/2025 10:00,,"0 days, 0 hours, 15 minutes"," $ 5,111.96 ",,0.60315,0.6039,7.5,0.60056,25.9,0.6039,-7.5,3.45 R,0.11%,0.38%,,-$19.50,-0.38%,  ,,,,-$19.50,, $ 92.46 ,," $ 5,092.46 ",-0.38%,1.85%,,$29.00,$1.00,,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,B,Okay,Okay,Didnt spend enough time - rushed it - HTF was consoildating and sideways 
,,31,LOSS,Forex, NZDCAD ,,,, Strategy 1 ,,Long,,N.Y,18/06/2025 22:00,,Wednesday,19/06/2025 03:00,,"0 days, 5 hours, 0 minutes"," $ 5,092.46 ",,0.82341,0.82223,11.8,0.82749,40.8,0.82223,-11.8,3.46 R,0.08%,0.34%,,-$14.50,-0.28%,  ,,,,-$14.50,, $ 77.96 ,," $ 5,077.96 ",-0.28%,1.56%,,$30.00,$1.00,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,B,Good,Good,
,,32,LOSS,Forex, GBPNZD ,,,, Strategy 1 ,,Short,,London,20/06/2025,,Friday,20/06/2025,,"0 days, 0 hours, 0 minutes"," $ 5,077.96 ",,2.24773,2.24868,9.5,2.24435,33.8,2.24435,33.8,3.56 R,0.08%,0.29%,,-$14.50,-0.29%,  ,,,,-$14.50,, $ 63.46 ,," $ 5,063.46 ",-0.29%,1.27%,,$31.00,$1.00,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,C,Good,Okay,HTF not clear. Nice BOS though. Thought price would move into HTF discount but diddnt. respescted the rally base rally.
,,33,WIN,Forex, NZDUSD ,,,, Strategy 1 ,,Long,,N.Y,26/06/2025 12:20,,Thursday,26/06/2025 13:20,,"0 days, 1 hours, 0 minutes"," $ 5,063.46 ",,0.60512,0.6045,6.2,0.6073,21.8,0.6073,21.8,3.52 R,0.26%,0.91%,,$46.20,0.91%,  ,,,,$46.20,, $ 109.66 ,," $ 5,109.66 ",0.91%,2.19%,,$32.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A+,Good,Good,
,,34,LOSS,Forex, AUDCAD ,,,, Strategy 1 ,,Short,,N.Y,27/06/2025 16:45,,Friday,27/06/2025 17:09,,"0 days, 0 hours, 24 minutes"," $ 5,109.66 ",,0.89254,0.89313,5.9,0.8905,20.4,0.89313,-5.9,3.46 R,0.11%,0.39%,,-$20.00,-0.39%,  ,,,,-$20.00,, $ 89.66 ,," $ 5,089.66 ",-0.39%,1.79%,,$33.00,$1.00,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,A,Good,Good,"Signal on phone messed up so opened 3 trades - manage to close one at entry, one of them closed at 5 dollar loss"
,,35,LOSS,Forex, GBPAUD ,,,, Strategy 1 ,,Short,,London,02/07/2025 12:33,,Wednesday,02/07/2025 12:51,,"0 days, 0 hours, 18 minutes"," $ 5,089.66 ",,2.08792,2.08865,7.3,2.08538,25.4,2.08865,-7.3,3.48 R,0.08%,0.29%,,-$15.00,-0.29%,  ,,,,-$15.00,, $ 74.66 ,," $ 5,074.66 ",-0.29%,1.49%,,$34.00,$1.00,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,C,Good,Okay,Wicked out - annoying as would have been gorg move but oh well. Low quality setup but just liked the look of it.
,,36,LOSS,Forex, EURJPY ,,,, Strategy 1 ,,Short,,London,01/07/2025 20:30,,Tuesday,02/07/2025 10:30,,"0 days, 14 hours, 0 minutes"," $ 5,074.66 ",,169.439,169.714,27.5,168.013,142.6,169.714,-27.5,5.19 R,0.09%,0.49%,,-$25.00,-0.49%,  ,,,,-$25.00,, $ 49.66 ,," $ 5,049.66 ",-0.49%,0.99%,,$35.00,$1.00,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,A,Good,Good,I dont think this was a bad setup - It  had a MSS with liq grabs and potenital to move back into some HTF discount
,,37,LOSS,Forex, EURNZD ,,,, Strategy 1 ,,Short,,London,07/07/2025 09:50,,Monday,07/07/2025 10:00,,"0 days, 0 hours, 10 minutes"," $ 5,049.66 ",,1.95669,1.95748,7.9,1.95387,28.2,1.95748,-7.9,3.57 R,0.14%,0.50%,,-$25.00,-0.50%,  ,,,,-$25.00,, $ 24.66 ,," $ 5,024.66 ",-0.50%,0.49%,,$36.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,A-,Good,Good,Nice setup - saw the reversal and price was far from discount - just got wicked - thats my strategy
,,38,WIN,Forex, EURUSD ,,,, Strategy 1 ,,Short,,London,08/07/2025 08:30,,Tuesday,08/07/2025 15:20,,"0 days, 6 hours, 50 minutes"," $ 5,024.66 ",,1.17589,1.17797,20.8,1.16862,72.7,1.16862,72.7,3.5 R,0.42%,1.47%,,$74.00,1.47%,  ,,,,$74.00,, $ 98.66 ,," $ 5,098.66 ",1.47%,1.97%,,$37.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,A+,Good,Good,Great move 
,,39,WIN,Forex, GBPJPY ,,,, Strategy 1 ,,Short,,London,10/07/2025 07:00,,Thursday,11/07/2025 01:00,,"0 days, 18 hours, 0 minutes"," $ 5,098.66 ",,199.183,199.35,16.7,198.373,81,198.373,81,4.85 R,0.30%,1.47%,,$74.73,1.47%,  ,,,,$74.73,, $ 173.39 ,," $ 5,173.39 ",1.47%,3.47%,,$38.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,A,Good,Good,Missed inital entry as was asleep
,,40,LOSS,Commodities, XAUUSD ,,,, Strategy 1 ,,Short,,N.Y,10/07/2025 20:00,,Thursday,11/07/2025 01:00,,"0 days, 5 hours, 0 minutes"," $ 5,173.39 ",,3323.63,3327.54,391,3310.06,1357,3327.54,-391,3.47 R,0.14%,0.48%,,-$25.00,-0.48%,  ,,,,-$25.00,, $ 148.39 ,," $ 5,148.39 ",-0.48%,2.97%,,$39.00,$1.00,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,C,Good,Good,"SThink this was a bit rushed. Nice idea of BOS and a MSS, yet was neglecting the HTF. Was counter trend on HTF."
,,41,LOSS,Forex, GBPJPY ,,,, Strategy 1 ,,Long,,London,11/07/2025 12:30,,Friday,11/07/2025 13:15,,"0 days, 0 hours, 45 minutes"," $ 5,148.39 ",,198.56,198.393,16.7,199.439,87.9,198.393,-16.7,5.26 R,0.07%,0.00%,,-$20.00,-0.39%,  ,,,,-$20.00,, $ 128.39 ,," $ 5,128.39 ",-0.39%,2.57%,,$40.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,A+,Good,Good,"Was a nice entry, would have been nice RR too. Got wicked out, price usually doesnt go that low,"
,,42,LOSS,Forex, EURNZD ,,,, Strategy 1 ,,Long,,N.Y,16/07/2025 12:45,,Wednesday,16/07/2025 13:30,,"0 days, 0 hours, 45 minutes"," $ 5,128.39 ",,1.95315,1.95,31.5,1.95704,38.9,1.95,-31.5,1.23 R,0.96%,0.60%,,-$60.43,-1.18%,  ,,,,-$60.43,, $ 67.96 ,," $ 5,067.96 ",-1.18%,1.36%,,$41.00,$1.00,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,A,Good,Bad,"Bias right - just didnt check that PPI was released and caused the spike in volatility. Onlyt risked 25 dol too, yet due to spreads it wicked me out for much more. Annoying."
,,43,LOSS,Forex, CADJPY ,,,, Strategy 1 ,,Short,,N.Y,17/07/2025 13:30,,Thursday,17/07/2025 13:30,,"0 days, 0 hours, 0 minutes"," $ 5,067.96 ",,108.166,108.239,7.3,107.943,22.3,108.239,-7.3,3.05 R,0.16%,0.49%,,-$25.00,-0.49%,  ,,,,-$25.00,, $ 42.96 ,," $ 5,042.96 ",-0.49%,0.86%,,$42.00,$1.00,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A,Good,Okay,Wicked out due to news again. bias right
